CITY,LANGSTATE,NISCODE,DISTRCAP,PROVCAP,REGIONCAP,COUNTRYCAP,XYORIGIN,NAME_DUT,NAME_GER,NAME_FRE
2,1,11001,2,2,2,2,690,Aartselaar,,
1,1,11002,1,1,2,2,690,Antwerpen,,
2,1,11004,2,2,2,2,690,Boechout,,
2,1,11005,2,2,2,2,690,Boom,,
2,1,11007,2,2,2,2,690,Borsbeek,,
2,1,11008,2,2,2,2,690,Brasschaat,,
2,1,11009,2,2,2,2,690,Brecht,,
2,1,11013,2,2,2,2,690,Edegem,,
2,1,11016,2,2,2,2,690,Essen,,
2,1,11018,2,2,2,2,690,Hemiksem,,
2,1,11021,2,2,2,2,690,Hove,,
2,1,11022,2,2,2,2,690,Kalmthout,,
2,1,11023,2,2,2,2,690,Kapellen,,
2,1,11024,2,2,2,2,690,Kontich,,
2,1,11025,2,2,2,2,690,Lint,,
1,1,11029,2,2,2,2,690,Mortsel,,
2,1,11030,2,2,2,2,690,Niel,,
2,1,11035,2,2,2,2,690,Ranst,,
2,1,11037,2,2,2,2,690,Rumst,,
2,1,11038,2,2,2,2,690,Schelle,,
2,1,11039,2,2,2,2,690,Schilde,,
2,1,11040,2,2,2,2,690,Schoten,,
2,1,11044,2,2,2,2,690,Stabroek,,
2,1,11050,2,2,2,2,690,Wijnegem,,
2,1,11052,2,2,2,2,690,Wommelgem,,
2,1,11053,2,2,2,2,690,Wuustwezel,,
2,1,11054,2,2,2,2,690,Zandhoven,,
2,1,11055,2,2,2,2,690,Zoersel,,
2,1,11056,2,2,2,2,690,Zwijndrecht,,
2,1,11057,2,2,2,2,690,Malle,,
2,1,12002,2,2,2,2,690,Berlaar,,
2,1,12005,2,2,2,2,690,Bonheiden,,
2,1,12007,2,2,2,2,690,Bornem,,
2,1,12009,2,2,2,2,690,Duffel,,
2,1,12014,2,2,2,2,690,Heist-op-den-Berg,,
1,1,12021,2,2,2,2,690,Lier,,
1,1,12025,1,2,2,2,690,Mechelen,,
2,1,12026,2,2,2,2,690,Nijlen,,
2,1,12029,2,2,2,2,690,Putte,,
2,1,12041,2,2,2,2,690,Puurs-Sint-Amands,,
2,1,12035,2,2,2,2,690,Sint-Katelijne-Waver,,
2,1,12040,2,2,2,2,690,Willebroek,,
2,1,13001,2,2,2,2,690,Arendonk,,
2,1,13002,2,2,2,2,690,Baarle-Hertog,,
2,1,13003,2,2,2,2,690,Balen,,
2,1,13004,2,2,2,2,690,Beerse,,
2,1,13006,2,2,2,2,690,Dessel,,
1,1,13008,2,2,2,2,690,Geel,,
2,1,13010,2,2,2,2,690,Grobbendonk,,
1,1,13011,2,2,2,2,690,Herentals,,
2,1,13012,2,2,2,2,690,Herenthout,,
2,1,13013,2,2,2,2,690,Herselt,,
1,1,13014,2,2,2,2,690,Hoogstraten,,
2,1,13016,2,2,2,2,690,Hulshout,,
2,1,13017,2,2,2,2,690,Kasterlee,,
2,1,13019,2,2,2,2,690,Lille,,
2,1,13021,2,2,2,2,690,Meerhout,,
2,1,13023,2,2,2,2,690,Merksplas,,
2,1,13025,2,2,2,2,690,Mol,,
2,1,13029,2,2,2,2,690,Olen,,
2,1,13031,2,2,2,2,690,Oud-Turnhout,,
2,1,13035,2,2,2,2,690,Ravels,,
2,1,13036,2,2,2,2,690,Retie,,
2,1,13037,2,2,2,2,690,Rijkevorsel,,
1,1,13040,1,2,2,2,690,Turnhout,,
2,1,13044,2,2,2,2,690,Vorselaar,,
2,1,13046,2,2,2,2,690,Vosselaar,,
2,1,13049,2,2,2,2,690,Westerlo,,
2,1,13053,2,2,2,2,690,Laakdal,,
2,4,21001,2,2,2,2,690,Anderlecht,,Anderlecht
2,4,21002,2,2,2,2,690,Oudergem,,Auderghem
2,4,21003,2,2,2,2,690,Sint-Agatha-Berchem,,Berchem-Sainte-Agathe
1,4,21004,1,2,1,1,690,Brussel,,Bruxelles
2,4,21005,2,2,2,2,690,Etterbeek,,Etterbeek
2,4,21006,2,2,2,2,690,Evere,,Evere
2,4,21007,2,2,2,2,690,Vorst,,Forest
2,4,21008,2,2,2,2,690,Ganshoren,,Ganshoren
2,4,21009,2,2,2,2,690,Elsene,,Ixelles
2,4,21010,2,2,2,2,690,Jette,,Jette
2,4,21011,2,2,2,2,690,Koekelberg,,Koekelberg
2,4,21012,2,2,2,2,690,Sint-Jans-Molenbeek,,Molenbeek-Saint-Jean
2,4,21013,2,2,2,2,690,Sint-Gillis,,Saint-Gilles
2,4,21014,2,2,2,2,690,Sint-Joost-ten-Node,,Saint-Josse-ten-Noode
2,4,21015,2,2,2,2,690,Schaarbeek,,Schaerbeek
2,4,21016,2,2,2,2,690,Ukkel,,Uccle
2,4,21017,2,2,2,2,690,Watermaal-Bosvoorde,,Watermael-Boitsfort
2,4,21018,2,2,2,2,690,Sint-Lambrechts-Woluwe,,Woluwe-Saint-Lambert
2,4,21019,2,2,2,2,690,Sint-Pieters-Woluwe,,Woluwe-Saint-Pierre
2,1,23002,2,2,2,2,690,Asse,,
2,1,23003,2,2,2,2,690,Beersel,,
2,5,23009,2,2,2,2,690,Bever,,Biévène
2,1,23016,2,2,2,2,690,Dilbeek,,
2,1,23023,2,2,2,2,690,Galmaarden,,
2,1,23024,2,2,2,2,690,Gooik,,
2,1,23025,2,2,2,2,690,Grimbergen,,
1,1,23027,1,2,2,2,690,Halle,,
2,1,23032,2,2,2,2,690,Herne,,
2,1,23033,2,2,2,2,690,Hoeilaart,,
2,1,23038,2,2,2,2,690,Kampenhout,,
2,1,23039,2,2,2,2,690,Kapelle-op-den-Bos,,
2,1,23044,2,2,2,2,690,Liedekerke,,
2,1,23045,2,2,2,2,690,Londerzeel,,
2,1,23047,2,2,2,2,690,Machelen,,
