"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","TYPE_4","ENGTYPE_4"
1,23,"BEL","Belgium",1,"Bruxelles",1,"Bruxelles",1,"Brussel",1,"Anderlecht",NA,"Commune","Commune"
2,23,"BEL","Belgium",1,"Bruxelles",1,"Bruxelles",1,"Brussel",2,"Brussel",NA,"Commune","Commune"
3,23,"BEL","Belgium",1,"Bruxelles",1,"Bruxelles",1,"Brussel",3,"Elsene",NA,"Commune","Commune"
4,23,"BEL","Belgium",1,"Bruxelles",1,"Bruxelles",1,"Brussel",4,"Etterbeek",NA,"Commune","Commune"
5,23,"BEL","Belgium",1,"Bruxelles",1,"Bruxelles",1,"Brussel",5,"Evere",NA,"Commune","Commune"
6,23,"BEL","Belgium",1,"Bruxelles",1,"Bruxelles",1,"Brussel",6,"Ganshoren",NA,"Commune","Commune"
7,23,"BEL","Belgium",1,"Bruxelles",1,"Bruxelles",1,"Brussel",7,"Jette",NA,"Commune","Commune"
8,23,"BEL","Belgium",1,"Bruxelles",1,"Bruxelles",1,"Brussel",8,"Koekelberg",NA,"Commune","Commune"
9,23,"BEL","Belgium",1,"Bruxelles",1,"Bruxelles",1,"Brussel",9,"Oudergem",NA,"Commune","Commune"
10,23,"BEL","Belgium",1,"Bruxelles",1,"Bruxelles",1,"Brussel",10,"Schaarbeek",NA,"Commune","Commune"
11,23,"BEL","Belgium",1,"Bruxelles",1,"Bruxelles",1,"Brussel",11,"Sint-Agatha-Berchem",NA,"Commune","Commune"
12,23,"BEL","Belgium",1,"Bruxelles",1,"Bruxelles",1,"Brussel",12,"Sint-Gillis",NA,"Commune","Commune"
13,23,"BEL","Belgium",1,"Bruxelles",1,"Bruxelles",1,"Brussel",13,"Sint-Jans-Molenbeek",NA,"Commune","Commune"
14,23,"BEL","Belgium",1,"Bruxelles",1,"Bruxelles",1,"Brussel",14,"Sint-Joost-ten-Node",NA,"Commune","Commune"
15,23,"BEL","Belgium",1,"Bruxelles",1,"Bruxelles",1,"Brussel",15,"Sint-Lambrechts-Woluwe",NA,"Commune","Commune"
16,23,"BEL","Belgium",1,"Bruxelles",1,"Bruxelles",1,"Brussel",16,"Sint-Pieters-Woluwe",NA,"Commune","Commune"
17,23,"BEL","Belgium",1,"Bruxelles",1,"Bruxelles",1,"Brussel",17,"Ukkel",NA,"Commune","Commune"
18,23,"BEL","Belgium",1,"Bruxelles",1,"Bruxelles",1,"Brussel",18,"Vorst",NA,"Commune","Commune"
19,23,"BEL","Belgium",1,"Bruxelles",1,"Bruxelles",1,"Brussel",19,"Watermaal-Bosvoorde",NA,"Commune","Commune"
20,23,"BEL","Belgium",2,"Vlaanderen",2,"Antwerpen",2,"Antwerpen",20,"Aartselaar",NA,"Gemeente","Commune"
21,23,"BEL","Belgium",2,"Vlaanderen",2,"Antwerpen",2,"Antwerpen",21,"Antwerpen",NA,"Gemeente","Commune"
22,23,"BEL","Belgium",2,"Vlaanderen",2,"Antwerpen",2,"Antwerpen",22,"Boechout",NA,"Gemeente","Commune"
23,23,"BEL","Belgium",2,"Vlaanderen",2,"Antwerpen",2,"Antwerpen",23,"Boom",NA,"Gemeente","Commune"
24,23,"BEL","Belgium",2,"Vlaanderen",2,"Antwerpen",2,"Antwerpen",24,"Borsbeek",NA,"Gemeente","Commune"
25,23,"BEL","Belgium",2,"Vlaanderen",2,"Antwerpen",2,"Antwerpen",25,"Brasschaat",NA,"Gemeente","Commune"
26,23,"BEL","Belgium",2,"Vlaanderen",2,"Antwerpen",2,"Antwerpen",26,"Brecht",NA,"Gemeente","Commune"
27,23,"BEL","Belgium",2,"Vlaanderen",2,"Antwerpen",2,"Antwerpen",27,"Edegem",NA,"Gemeente","Commune"
28,23,"BEL","Belgium",2,"Vlaanderen",2,"Antwerpen",2,"Antwerpen",28,"Essen",NA,"Gemeente","Commune"
29,23,"BEL","Belgium",2,"Vlaanderen",2,"Antwerpen",2,"Antwerpen",29,"Hemiksem",NA,"Gemeente","Commune"
30,23,"BEL","Belgium",2,"Vlaanderen",2,"Antwerpen",2,"Antwerpen",30,"Hove",NA,"Gemeente","Commune"
31,23,"BEL","Belgium",2,"Vlaanderen",2,"Antwerpen",2,"Antwerpen",31,"Kalmthout",NA,"Gemeente","Commune"
32,23,"BEL","Belgium",2,"Vlaanderen",2,"Antwerpen",2,"Antwerpen",32,"Kapellen",NA,"Gemeente","Commune"
33,23,"BEL","Belgium",2,"Vlaanderen",2,"Antwerpen",2,"Antwerpen",33,"Kontich",NA,"Gemeente","Commune"
34,23,"BEL","Belgium",2,"Vlaanderen",2,"Antwerpen",2,"Antwerpen",34,"Lint",NA,"Gemeente","Commune"
35,23,"BEL","Belgium",2,"Vlaanderen",2,"Antwerpen",2,"Antwerpen",35,"Malle",NA,"Gemeente","Commune"
